Resultado da Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissão:30/10/2025 20:09:44,Total de registros:227,Usuário: 0 - SUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_TYPE_MOD,DATA_TYPE_OWNER,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,COLUMN_ID,DEFAULT_LENGTH,DATA_DEFAULT,NUM_DISTINCT,LOW_VALUE,HIGH_VALUE,DENSITY,NUM_NULLS,NUM_BUCKETS,LAST_ANALYZED,SAMPLE_SIZE,CHARACTER_SET_NAME,CHAR_COL_DECL_LENGTH,GLOBAL_STATS,USER_STATS,AVG_COL_LEN,CHAR_LENGTH,CHAR_USED,V80_FMT_IMAGE,DATA_UPGRADED,HISTOGRAM,DEFAULT_ON_NULL,IDENTITY_COLUMN,EVALUATION_EDITION,UNUSABLE_BEFORE,UNUSABLE_BEGINNING,COLLATION
SATISTST,TGFITE,BASESTUFDEST,FLOAT,,,"22,00","126,00",,Y,75,,,"1,00",80,80,"0,00","167.960,00","1,00",30/10/2025 05:24,"14.430,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,VLRICMSUFDEST,FLOAT,,,"22,00","126,00",,Y,76,,,"2,00",80,C102,"0,00","167.930,00","2,00",30/10/2025 05:24,"14.433,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,BASESTANT,FLOAT,,,"22,00","126,00",,Y,77,,,"1,00",80,80,"0,00","167.960,00","1,00",30/10/2025 05:24,"14.430,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,GRUPOTRANSG,NUMBER,,,"22,00","10,00","0,00",Y,78,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,PRODUTONFE,VARCHAR2,,,"60,00",,,Y,79,,,"1.593,00",31,393938,"0,00","10,00","254,00",30/10/2025 05:24,"31.225,00",CHAR_CS,60,YES,NO,"4,00","60,00",B,NO,YES,HEIGHT BALANCED,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,GTINNFE,VARCHAR2,,,"14,00",,,Y,80,,,"137,00",31303030303030303038363534,37383939343738373033313039,"0,00","184.460,00","137,00",30/10/2025 05:24,"12.780,00",CHAR_CS,14,YES,NO,"7,00","14,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,GTINTRIBNFE,VARCHAR2,,,"14,00",,,Y,81,,,"137,00",31303030303030303038363534,37383939343738373033313039,"0,00","184.460,00","137,00",30/10/2025 05:24,"12.780,00",CHAR_CS,14,YES,NO,"7,00","14,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,CODPROMO,NUMBER,,,"22,00","10,00","0,00",Y,82,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,VLRPROMO,FLOAT,,,"22,00","126,00",,Y,83,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,VLRLIQPROM,FLOAT,,,"22,00","126,00",,Y,84,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,PRECOBASEQTD,FLOAT,,,"22,00","126,00",,Y,85,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,RETDATACRITICA,VARCHAR2,,,"1,00",,,Y,86,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,CHAR_CS,1,YES,NO,"0,00","1,00",B,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,PERCPUREZA,FLOAT,,,"22,00","126,00",,Y,87,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,PERCGERMIN,FLOAT,,,"22,00","126,00",,Y,88,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
