====================================================================================================
                             LISTAGEM DE PRODUTOS - CONTROLE DE ESTOQUE                             
                              Fonte: ESTOQUE DE PAPEIS-29-7-26(1).xlsx                              
                                    Gerado em: 31/07/2026 15:58                                     
====================================================================================================

----------------------------------------------------------------------------------------------------
CATEGORIA: FOSCO
----------------------------------------------------------------------------------------------------
DESCRIÇÃO                               GRAM.   FORNECEDOR     LARG(mm)  COMP(m)  SALDO(rolos)
BOPP BRILHO COLACRIL BXT                20G     COLACRIL             40     1000             1
BOPP BRILHO COLACRIL BXT                20G     COLACRIL             60     1000             0
BOPP BRILHO COLACRIL BXT                20G     COLACRIL             70     1000             0
BOPP BRILHO COLACRIL BXT                20G     COLACRIL             80     1000             1
BOPP BRILHO COLACRIL BXT                20G     COLACRIL             83     1000             2
BOPP BRILHO COLACRIL BXT                20G     COLACRIL             85     1000             2
BOPP BRILHO COLACRIL BXT                20G     COLACRIL             95     1000             3
BOPP BRILHO COLACRIL BXT                20G     COLACRIL             95     1500             1
BOPP BRILHO COLACRIL BXT                20G     COLACRIL            100      500             1
BOPP BRILHO COLACRIL BXT                20G     COLACRIL            100     1000             1
BOPP BRILHO COLACRIL BXT                20G     COLACRIL            110     1000             3
BOPP BRILHO COLACRIL BXT                20G     COLACRIL            130     1000             2
BOPP BRILHO COLACRIL BXT                20G     COLACRIL            131     1000             3
BOPP BRILHO COLACRIL BXT                20G     COLACRIL            135     1000             0
BOPP BRILHO COLACRIL BXT                20G     COLACRIL            145     1000             2
BOPP BRILHO COLACRIL BXT                20G     COLACRIL            155     1000             1
BOPP BRILHO COLACRIL BXT                20G     COLACRIL            205     1000             1
BOPP BRILHO COLACRIL BXT                20G     COLACRIL            210     1000             3
BOPP BRILHO COLACRIL BXT                20G     COLACRIL            220     1000             1
BOPP BRILHO COLACRIL BXT                20G     COLACRIL            250     1000             1
BOPP BRILHO COLACRIL BXT                20G     COLACRIL            333     1000             0
BOPP BRILHO COLACRIL NBT                20G     COLACRIL             80     1000             1
BOPP BRILHO COLACRIL NBT                20G     COLACRIL             83     1500             1
BOPP BRILHO COLACRIL NBT                20G     COLACRIL             85     1000             1
BOPP BRILHO COLACRIL NBT                20G     COLACRIL            110     1000             0
BOPP BRILHO COLACRIL NBT                20G     COLACRIL            125     1000             1
